id,code,name,type_code,status
125,261Y,代乡长,261,N
126,262A,村长,262,N
127,262B,副村长,262,N
128,333A,代表,333,N
129,333B,副代表,333,N
130,341C,一等秘书,341,N
131,341D,二等秘书,341,N
132,341E,三等秘书,341,N
133,373Q,总教练,373,N
134,401A,组长,401,N
135,401B,副组长,401,N
136,402A,行长,402,N
137,402B,副行长,402,N
138,404A,台长,404,N
139,404B,副台长,404,N
140,405A,理事长,405,N
141,405B,副理事长,405,N
142,406A,理事,406,N
143,407A,首席监事,407,Y
144,408A,监事,408,Y
145,409A,参事,409,N
146,410A,会长,410,N
147,410B,副会长,410,N
148,412A,干事,412,N
149,412Q,总干事,412,N
150,412R,副总干事,412,N
151,414A,社长,414,N
152,414B,副社长,414,N
153,415A,馆长,415,N
154,415B,副馆长,415,N
155,415M,名誉馆长,415,N
156,416A,所长,416,N
157,416B,副所长,416,N
158,416M,名誉所长,416,N
159,417A,院长,417,N
160,417B,副院长,417,N
161,417M,名誉院长,417,N
162,418A,校长,418,N
163,418B,副校长,418,N
164,418M,名誉校长,418,N
165,419A,教务长,419,N
166,419B,副教务长,419,N
167,420A,总务长,420,N
168,420B,副总务长,420,N
169,421A,教育长,421,N
170,421B,副教育长,421,N
171,423A,船长,423,N
172,423B,副船长,423,N
173,423Q,总船长,423,N
174,423R,副总船长,423,N
175,425A,护士长,425,N
176,426A,园长,426,N
177,426B,副园长,426,N
178,431A,董事长,431,Y
179,431B,副董事长,431,Y
180,432A,董事,432,Y
181,433A,轮机长,433,N
182,433B,副轮机长,433,N
183,433Q,总轮机长,433,N
184,433R,副总轮机长,433,N
185,434Q,总经理,434,Y
186,434R,副总经理,434,Y
187,435A,部门经理,435,Y
188,435B,部门副经理,435,Y
189,435Q,部门总经理,435,Y
190,435R,部门副总经理,435,Y
191,436A,经理,436,Y
192,436B,副经理,436,Y
193,437A,分局长,437,N
194,437B,副分局长,437,N
195,438A,站长,438,N
196,438B,副站长,438,N
197,439A,厂长,439,N
198,439B,副厂长,439,N
199,440A,场长,440,N
200,440B,副场长,440,N
201,441A,矿长,441,N
202,441B,副矿长,441,N
203,451A,指挥,451,N
204,451B,副指挥,451,N
205,451Q,总指挥,451,N
206,451R,副总指挥,451,N
207,452A,调度长,452,N
208,452B,副调度长,452,N
209,452Q,总调度长,452,N
210,452R,副总调度长,452,N
211,453A,调度,453,N
212,454C,大副,454,N
213,454D,二副,454,N
214,454E,三副,454,N
215,501Q,总设计师,501,N
216,501R,副总设计师,501,N
217,502Q,总工艺师,502,N
218,502R,副总工艺师,502,N
219,503Q,总地质师,503,N
220,503R,副总地质师,503,N
221,504Q,总农经师,504,N
222,504R,副总农经师,504,N
223,505Q,总飞行师,505,N
224,505R,副总飞行师,505,N
225,801A,参谋长,801,N
226,801B,副参谋长,801,N
227,801J,参谋长助理,801,N
228,802A,参谋,802,N
229,810A,司令员,810,N
230,810B,副司令员,810,N
231,811A,军长,811,N
232,811B,副军长,811,N
233,812A,师长,812,N
234,812B,副师长,812,N
235,814A,旅长,814,N
236,814B,副旅长,814,N
237,815A,团长,815,N
238,815B,副团长,815,N
239,816A,营长,816,N
240,816B,副营长,816,N
241,817A,连长,817,N
242,817B,副连长,817,N
243,818A,排长,818,N
244,818B,副排长,818,N
245,819A,班长,819,N
246,819B,副班长,819,N
247,831A,舰长,831,N
248,831B,副舰长,831,N
249,832A,舰务长,832,N
250,832B,副舰务长,832,N
251,834A,航海长,834,N
252,834B,副航海长,834,N
253,835A,艇长,835,N
254,835B,副艇长,835,N
255,836A,机长,836,N
256,836B,副机长,836,N
257,837A,领航长,837,N
258,837B,副领航长,837,N
259,840A,大队长,840,N
260,840B,副大队长,840,N
261,841A,队长,841,N
262,841B,副队长,841,N
263,841Q,总队长,841,N
264,841R,副总队长,841,N
265,844A,中队长,844,N
266,844B,副中队长,844,N
267,845A,支队长,845,N
268,845B,副支队长,845,N
269,846A,分队长,846,N
270,846B,副分队长,846,N
271,847A,区队长,847,N
272,847B,副区队长,847,N
273,848A,哨长,848,N
274,848B,副哨长,848,N
275,851A,政委,851,N
276,851B,副政委,851,N
277,852A,教导员,852,N
278,852B,副教导员,852,N
279,854A,协理员,854,N
280,854B,副协理员,854,N
281,855A,指导员,855,N
282,855B,副指导员,855,N
283,856A,助理员,856,N
284,857A,军事代表,857,N
285,857Q,总军事代表,857,N
286,857R,副总军事代表,857,N
287,999A,其它职务,999,Y
288,001H,纪委书记,001,Y
289,999B,工勤人员,999,Y
